116/122/A-180 Z light pillbox		49 57 30.7 N	14 05 23.85 E
A-4/51/A-200 Y light pillbox	Back to 1938 state restored Pillbox Type 37 built in a unique modification into road embankment between Dolní Bezděkov and Bratronice, Kladno District, Czech Republic.	50 04 47.94 N	14 02 01.85 E
A Arnoia		42 14 54.95 N	8 08 04.88 W
A Barciela, Oroso		42 57 57.49 N	8 26 31.07 W
Abbaye d'Acey		47 15 42 N	5 39 25 E
Abbaye de Bourgueil		47 16 46.2 N	0 10 18.12 E
Abbaye de Cluny	The Abbey of Cluny (or Cluni, or Clugny) was founded on 2 September 909 and is located in the modern-day department of Saône-et-Loire in the region of Bourgogne, in east-central France, near Mâcon.	46 26 03 N	4 39 33 E
Abbaye de Fontevraud	Fontevraud Abbey is located near Saumur in Anjou, France	47 10 53 N	0 03 06 E
Abbaye de La Sauve-Majeure		44 46 07.24 N	0 18 42.41 W
Abbaye de Montmajour		43 42 20.16 N	4 39 50.04 E
Abbaye de Saint-Germain-des-Prés		48 51 14 N	2 20 04 E
Abbaye de Saint-Savin-sur-Gartempe		46 33 51 N	0 51 58 E
Abbaye de Sénanque		43 55 42 N	5 11 13 E
Abbaye de Valmagne		43 29 12.97 N	3 33 44.19 E
Abbaye du Relec		48 26 56 N	3 43 00 W
Abbaye Saint-Corneille		49 25 02.6 N	2 49 28.57 E
Abbaye Saint Wandrille	Monastery Saint Wandrille in France	49 31 46.42 N	0 45 59.58 E
Abeilhan	Abeilhan is a commune of the Hérault département in the Region of Occitanie - France.	43 27 02 N	3 17 43 E
Abri-caverne de l'ouvrage du Haut-Bois		47 35 24.07 N	6 48 34.23 E
Abtei Saint-André (Lavaudieu)		45 15 49 N	3 27 17 E
A Cañiza	A Cañiza is a municipality in Galicia, in the province of Pontevedra.	42 12 45.46 N	8 16 29.77 W
Aceldama	Aceldama or Akeldama is the Aramaic name for a place in Jerusalem associated with Judas Iscariot, one of the followers of Jesus.	31 46 05.1 N	35 13 59.51 E
Adissan	Adissan is a commune of the Hérault département in the Region of Occitanie - France.	43 32 09.96 N	3 25 45.12 E
Aérodrome de Besançon-Thise		47 16 25.68 N	6 04 59.09 E
A Estrada	A Estrada is a municipality in Galicia, Spain in the province of Pontevedra.	41 32 35.1 N	2 12 59.63 E
Agel	Agel is a commune of the Hérault département - France.	43 20 18.96 N	2 51 13.68 E
Agrón, Ames		42 54 20.32 N	8 41 43.21 W
A Guarda	A Guarda is a municipality in Galicia, in the province of Pontevedra.	41 54 09.12 N	8 52 27.15 W
A Gudiña	A Gudiña is a municipality in Galicia, in the province of Ourense.	42 03 40.13 N	7 08 34.19 W
Aguiño, Ribeira		42 31 24.99 N	9 00 57.6 W
Aiguafreda	Montseny	41 46 05.2 N	2 15 05.39 E
A Illa de Arousa	A Illa de Arousa is a municipality in Galicia, in the province of Pontevedra.	42 33 08.36 N	8 52 06.13 W
Alagna Valsesia	Alagna Valsesia is a village in Piemonte in Italy.	45 51 05.16 N	7 56 16.98 E
Albrechtsburg	The Albrechtsburg is the castle that dominates the city centre of Meißen, Germany.	51 09 59.65 N	13 28 17.83 E
Aletsch	Aletsch region, UNESCO World Heritage Site since 2001, in Bernese Alps, Switzerland	46 27 50.9 N	8 04 20.89 E
Allariz	Allariz is a municipality in Galicia, in the province of Ourense.	42 11 20.76 N	7 48 09.71 W
Alte Kanzlei, Stuttgart		48 46 39.1 N	9 10 42.97 E
Alt Katholische Christuskirche Offenbach		50 06 01.91 N	8 45 52.28 E
A Merca	A Merca is a municipality in Galicia, in the province of Ourense.	42 13 22.53 N	7 54 15.55 W
Ames		42 51 35.95 N	8 38 58.21 W
A Mezquita		42 00 42.5 N	7 02 43.17 W
Amoeiro		42 24 37.45 N	7 57 15.38 W
Ansemil, Silleda		42 44 21.56 N	8 16 12.47 W
Anta de Casaínhos		38 52 50.16 N	9 10 09.91 W
Antwerp Central Station		51 13 02 N	4 25 15.6 E
A Pobra de Trives		42 20 19.96 N	7 15 15.88 W
A Pobra do Brollón		42 33 29.3 N	7 23 40.15 W
A Pobra do Caramiñal	A Pobra do Caramiñal is a municipality in the province of A Coruña, Galicia, Spain.	42 36 12.2 N	8 56 14.25 W
Aquis Querquennis		41 58 12 N	7 58 48 W
Arbo		42 06 39.45 N	8 18 57.47 W
Arc de Triomf de Barcelona		41 23 28 N	2 10 50.02 E
Arc de Triomphe du Carrousel	The Arc de Triomphe du Carrousel is a triumphal arch in Paris, located in the Place du Carrousel on the site of the former Tuileries Palace.	48 51 43 N	2 19 58 E
Arch of Constantine		41 53 22.92 N	12 29 26.88 E
Arch of Septimius Severus (Rome)	The Arch of Septimius Severus is situated in the Forum Romanum in Rome.	41 53 34 N	12 29 05 E
Arch of Titus	The Arch of Titus is a triumphal arch with a single arched opening, located on the Summa Sacra Via to the west of the Roman Forum in Rome.	41 53 26 N	12 29 19 E
A Rúa	A Rúa is a municipality in Galicia, in the province of Ourense.	42 23 34.93 N	7 06 59.02 W
Askersund	Askersund is a town in Sweden.	58 53 00 N	14 54 00 E
As Neves	As Neves is a municipality in Galicia, in the province of Pontevedra.	42 05 10.49 N	8 24 53.43 W
As Pontes de García Rodríguez		43 26 47.63 N	7 51 09.54 W
Assumption Cathedral in Odessa	Assumption Cathedral in Odessa, Ukraine	46 28 49.43 N	30 44 21.24 E
Äußerer Plauenscher Friedhof	Cemetery „Äußerer Plauenscher Friedhof“ in Dresden-Plauen	51 01 11.89 N	13 42 26.03 E
Australian Synchrotron	The Australian Synchrotron, a synchrotron facility in the suburb of Clayton, in Melbourne, Victoria, Australia.	37 54 51 S	145 08 33 E
A Veiga	A Veiga is a municipality in Galicia, in the province of Ourense.	42 15 01.36 N	7 01 30.25 W
Avión	Avión is a municipality in Galicia, in the province of Ourense.	42 22 23.73 N	8 15 02.64 W
A Walk on Main Street, Ferndale, California	Ferndale is a small town in Humboldt County, California.	40 34 32.16 N	124 15 54 W
A Walk up Main Street, Adamstown, Pennsylvania	Adamstown is a small, historic town in Lancaster County, Pennsylvania.	40 14 36.96 N	76 03 16.2 W
Ayasofya	The Church of the Holy Wisdom, commonly known as Hagia Sophia in English, is the former Greek Orthodox patriarchal cathedral, converted in 1453 to a mosque, now a museum, in Istanbul.	41 00 30.5 N	28 58 47.7 E
B-6/61/A-220 Z light pillbox	B-6/61/A-220Z light pillbox, Beroun	49 57 25.96 N	14 05 35.6 E
B-7/5/A-200 Z light pillbox		49 56 28.3 N	14 07 53.68 E
B-7/6/A-200 Z light pillbox		49 56 19.34 N	14 07 56.34 E
Bahnhof Dresden-Neustadt	Dresden-Neustadt railway station and the four inner city bridges	51 03 56 N	13 44 27 E
Baiona	Baiona is a municipality in Galicia, Spain in the province of Pontevedra.	42 07 03.29 N	8 51 01.86 W
Baker Glacier	Chugach National Forest, Alaska	61 04 53 N	148 21 52 W
Baltar	Baltar is a municipality in Galicia, in the province of Ourense.	41 57 04.75 N	7 42 56.7 W
Barbadás		42 17 56.03 N	7 53 13.14 W
Basilique Notre-Dame de la Daurade		36 02.88 N	1 26 22.92 E
Basilique Notre-Dame de Thierenbach		47 52 54.12 N	7 11 21.16 E
Basilique Saint-Sauveur de Rennes		48 06 42 N	1 40 54 W
Beade	Beade is a municipality in Galicia, in the province of Ourense.	42 20 06.72 N	8 08 45.05 W
Bear Lake (Alaska)	Kenai Peninsula, Alaska	60 12 03 N	149 21 11 W
Bergfriedhof (Stuttgart)	The Bergfriedhof is a cemetery in the Stadtbezirk Stuttgart-Ost in Stuttgart.	48 47 19.16 N	9 12 23.35 E
Bergondo		43 19 15.36 N	8 13 54.04 W
Berlin Anhalter Bahnhof	The Anhalter Bahnhof was a large main-line railway station in Berlin. Today it is just a stop on the Berlin S-Bahn.	52 30 11 N	13 22 55 E
Betanzos		43 16 44.24 N	8 12 55.95 W
Bibliothèque Sainte-Geneviève		48 50 49.5 N	2 20 45 E
Bibracte	Bibracte est le nom de la cité gauloise, capitale des Eduens, qui était située au sommet du mont Beuvray (France)	46 55 23 N	4 02 15 E
Biella		45 34 05.07 N	8 03 02.61 E
Bienertparks in Dresden	Als Bienertpark werden verschiedene Parkanlagen in Dresden bezeichnet, deren Entstehung auf die Familie Gottlieb Traugott Bienert zurückgeht.	51 01 48.29 N	13 42 54.9 E
Billings Glacier	Chugach National Forest, Alaska	60 52 55 N	148 34 28 W
