A Arnoia		42 14 54.95 N	8 08 04.88 W
A Barciela, Oroso		42 57 57.49 N	8 26 31.07 W
A Cañiza	A Cañiza is a municipality in Galicia, in the province of Pontevedra.	42 12 45.46 N	8 16 29.77 W
A Coruña		43 21 58.95 N	8 24 28.71 W
A Guarda		41 54 09.12 N	8 52 27.14 W
A Gudiña	A Gudiña is a municipality in Galicia, in the province of Ourense.	42 03 40.13 N	7 08 34.19 W
A Illa de Arousa	A Illa de Arousa is a municipality in Galicia, in the province of Pontevedra.	42 33 08.36 N	8 52 06.13 W
A Merca	A Merca is a municipality in Galicia, in the province of Ourense.	42 13 22.53 N	7 54 15.55 W
A Mezquita		42 00 42.5 N	7 02 43.17 W
A Pobra de Trives		42 20 19.97 N	7 15 15.88 W
A Pobra do Brollón		42 33 29.3 N	7 23 40.15 W
A Pobra do Caramiñal	A Pobra do Caramiñal is a municipality in the province of A Coruña, Galicia, Spain.	42 36 12.2 N	8 56 14.25 W
A Rúa	A Rúa is a municipality in Galicia, in the province of Ourense.	42 23 34.93 N	7 06 59.02 W
A Veiga	A Veiga is a municipality in Galicia, in the province of Ourense.	42 15 01.36 N	7 01 30.25 W
A Walk on Main Street, Ferndale, California	Ferndale is a small town in Eureka County, California. Its Main Street is listed by the National Register of Historic Places as a historic district.	40 34 32.16 N	124 15 54 W
A Walk up Main Street, Adamstown, Pennsylvania	Adamstown is a small, historic town in Lancaster County, Pennsylvania.	40 14 36.96 N	76 03 16.2 W
Abeilhan		43 27 02 N	3 17 43 E
Aceldama	Aceldama or Akeldama is the Aramaic name for a place in Jerusalem associated with Judas Iscariot, one of the followers of Jesus.	31 46 05.1 N	35 13 59.51 E
Adissan		43 32 09.96 N	3 25 45.12 E
Agel		43 20 18.96 N	2 51 13.68 E
Agrón, Ames		42 54 20.32 N	8 41 43.21 W
Aguiño, Ribeira		42 31 24.99 N	9 00 57.6 W
Alagna Valsesia	Alagna Valsesia is a village in Piemonte in Italy.	45 51 05.15 N	7 56 16.98 E
Albrechtsburg	The Albrechtsburg is the castle that dominates the city centre of Meißen, Germany.	51 09 59.65 N	13 28 17.83 E
Aletsch	Aletsch region, UNESCO World Heritage Site since 2001, in Bernese Alps, Switzerland	46 27 50.9 N	8 04 20.89 E
Allariz	Allariz is a municipality in Galicia, in the province of Ourense.	42 11 20.76 N	7 48 09.71 W
Alt Katholische Christuskirche Offenbach		50 06 01.91 N	8 45 52.28 E
Ames		42 51 35.95 N	8 38 58.21 W
Amoeiro		42 24 37.45 N	7 57 15.38 W
Ansemil, Silleda		42 44 21.56 N	8 16 12.47 W
Anta de Casaínhos		38 52 50.16 N	9 10 09.91 W
Antwerp Central Station		51 13 02 N	4 25 15.6 E
Aquis Querquennis	Aquis Querquennis was a Roman castra at Os Baños, Bande (Ourense, Galiza).	41 58 27.2 N	7 58 52.1 W
Arbo		42 06 39.45 N	8 18 57.47 W
Arch of Constantine		41 53 23 N	12 29 27 E
Arch of Septimius Severus (Rome)	The Arch of Septimius Severus is situated in the Forum Romanum in Rome.	41 53 34 N	12 29 05 E
Arch of Titus	The Arch of Titus is a triumphal arch with a single arched opening, located on the Summa Sacra Via to the west of the Roman Forum in Rome.	41 53 26 N	12 29 19 E
Arenys de Munt	Arenys de Munt is a village in the comarca of Maresme, Catalonia.	41 36 46 N	2 32 25 E
Artwork:La Nouvelle Liberté		4 03 51.2 N	9 42 24.97 E
Artwork:Lucas Grandin, Le jardin sonore de Bonamouti		4 04 19.3 N	9 42 37.91 E
Artwork:Pascale Marthine Tayou, La Colonne Pascale		4 01 34.12 N	9 42 22.84 E
Artwork:Tracey Rose, Oasis		4 01 28.09 N	9 42 32.75 E
As Neves	As Neves is a municipality in Galicia, in the province of Pontevedra.	42 05 10.49 N	8 24 53.43 W
As Pontes de García Rodríguez		43 26 47.63 N	7 51 09.54 W
Askersund		58 53 00 N	14 54 00 E
Assumption Cathedral in Odessa	Assumption Cathedral in Odessa, Ukraine	46 28 49.43 N	30 44 21.24 E
Australian Synchrotron		37 54 51 S	145 08 33 E
Avión	Avión is a municipality in Galicia, in the province of Ourense.	42 22 23.72 N	8 15 02.64 W
Ayasofya	The Church of the Holy Wisdom, commonly known as Hagia Sophia in English, is the former Greek Orthodox patriarchal cathedral, converted in 1453 to a mosque, now a museum, in Istanbul.	41 00 30.5 N	28 58 47.7 E
Bahnhof Dresden-Neustadt	Dresden-Neustadt railway station and the four inner city bridges	51 03 56 N	13 44 27 E
Baiona	Baiona is a municipality in Galicia, Spain in the province of Pontevedra.	42 07 03.29 N	8 51 01.86 W
Baltar	Baltar is a municipality in Galicia, in the province of Ourense.	41 57 04.75 N	7 42 56.7 W
Barbadás		42 17 56.03 N	7 53 13.13 W
Beade	Beade is a municipality in Galicia, in the province of Ourense.	42 20 06.72 N	8 08 45.05 W
Beamish Museum: Entrance area	The entrance to Beamish Museum is on the south side of the site.	54 52 54.04 N	1 39 30.93 W
Bergfriedhof (Stuttgart)	The Bergfriedhof is a cemetery in the Stadtbezirk Stuttgart-Ost in Stuttgart.	48 47 19.16 N	9 12 23.35 E
Bergondo		43 19 15.35 N	8 13 54.04 W
Berlin Anhalter Bahnhof	The Anhalter Bahnhof was a large main-line railway station in Berlin. Today it is just a stop on the Berlin S-Bahn.	52 30 11 N	13 22 55 E
Betanzos		43 16 44.24 N	8 12 55.95 W
Biella		45 34 05.07 N	8 03 02.61 E
Bienertparks in Dresden	Als Bienertpark werden verschiedene Parkanlagen in Dresden bezeichnet, deren Entstehung auf die Familie Gottlieb Traugott Bienert zurückgeht.	51 01 48.29 N	13 42 54.9 E
Bildstock Austraße, Burggrumbach		49 52 19.59 N	10 01 43.48 E
Bildstock Herrngasse 1, Grafenrheinfeld		50 00 11.52 N	10 11 54.6 E
Bildstock Mainbacher Weg, Holzhausen		50 07 06.2 N	10 11 07.12 E
Bildstock Schulstraße 2, Burggrumbach		49 52 13.11 N	10 02 14.06 E
Boccadasse	Boccadasse è un antico borgo marinaro situato nel levante di Genova.	44 23 23.85 N	8 58 22.71 E
Boettcherstrasse		53 04 30 N	8 48 21 E
Boiro		42 38 13.16 N	8 52 12.31 W
Boke	Boke is a small village in the German district Paderborn; it belongs to the city of Delbrück.	51 43 48 N	8 33 43.56 E
Bolongaropalast	The Bolongaro Palace is a baroque building in Frankfurt-Höchst.	50 06 04 N	8 33 08 E
Borne des Trois Puissances	Dreiländerstein	47 30 10.58 N	7 07 48.76 E
Borovsk	Эта страница на русском: Боровск	55 12 27.19 N	36 29 05.05 E
Bosco delle Querce	The Regional Natural Park Bosco delle Querce (Oaks' Wood), built after the Seveso Disaster on the "A" zone.	45 38 55 N	9 09 10 E
Botanischer Garten Heidelberg		49 25 00 N	8 40 10 E
Brudermühlbrücke	The Brudermühlbrücke is a bridge in Munich across the Isar.	48 06 45.3 N	11 33 36.07 E
Brudermühlstraße	The Brudermühlstraße is a street in Munich, part of the Mittlerer Ring around the city centre.	48 06 44.2 N	11 33 01.37 E
Buenos Aires		34 36 13 S	58 22 54 W
Bueu	Bueu is a municipality in Galicia, Spain in the province of Pontevedra.	42 19 24.69 N	8 47 23.1 W
Buffalo Central Terminal	The New York Central Terminal in Buffalo, USA, was a key railroad station from 1929 to 1979.	42 53 22.44 N	78 49 51.08 W
Burg Stahleck	Stahleck Castle in Bacharach is a 12th century castle occupying a commanding view of the Rhine in the Loreley valley. Nowadays it's a youth hostel.	50 03 29.49 N	7 45 56.46 E
Burj Khalifa	The Burj Khalifa ("Khalifa Tower") is a skyscraper in Dubai, United Arab Emirates.	25 11 49.7 N	55 16 26.8 E
Bürgerhospital (Stuttgart)		48 47 34.6 N	9 10 45.95 E
Cabanas		43 24 50.49 N	8 10 04.15 W
Cabo Fisterra		42 52 50.96 N	9 16 18.27 W
Cabrils		41 31 42 N	2 22 09 E
Cadaqués	Cadaqués is a touristic village in Costa Brava, Alt Empordà, Catalonia, Spain	42 17 19.46 N	3 16 40.96 E
Cal Becs (Puig-reig)		41 57 41.01 N	1 54 21.89 E
Calgary		51 02 42 N	114 03 26 W
Cambados		42 30 52.2 N	8 48 24.89 W
Cambre	Cambre is a municipality in the province A Coruña, Galicia, Spain.	43 17 37.32 N	8 20 34.49 W
Campo de' Fiori		41 53 43.94 N	12 28 20.06 E
Candelabro de Paracas	The Paracas Candelabra is a well-known prehistoric geoglyph found on the northern face of the Paracas Peninsula at Pisco Bay in Peru.	13 47 39.67 S	76 18 31.31 W
Cangas		42 15 47.09 N	8 47 09.5 W
Cape Horn	Cape Horn is often said to be the southernmost point of South America.	55 58 47 S	67 16 18 W
Capela de São Nicolau	Capela de São Nicolau ou Passos da Via Sacra. Em Portugal, Porto.	41 08 27.14 N	8 36 55.49 W
Capriata d'Orba	Capriata d'Orba è un comune in provincia di Alessandria, Piemonte, Italia.	44 43 43.93 N	8 41 25.29 E
Carballeda de Avia	Carballeda de Avia is a municipality in Galicia, in the province of Ourense.	42 19 12.81 N	8 09 53.03 W
Cariño	Cariño is a municipality in the province A Coruña, Galicia, Spain.	43 43 58 N	7 52 39.76 W
Carreira, Ribeira	San Paio de Carreira is a parish of Ribeira, Galicia	42 32 55.84 N	9 00 24.53 W
Cartelle	Cartelle is a municipality in Galicia, in the province of Ourense.	42 15 00.44 N	8 04 17.46 W
Casa Buonarroti (Florence)	Casa Buonarroti è un museo di Firenze	43 46 11.64 N	11 15 49 E
Casa de las Carnicerías, León	The Casa de las Carnicerías (butcher's shops), a monument declared as a Bien de Interés Cultural in 1992, is located at San Martín square, León (Spain).	42 35 48.84 N	5 34 04.4 W
Casa del esquileo, Cabanillas del Monte	The casa del esquileo (shearing shed) is a monument placed at Cabanillas del Monte, Torrecaballeros, Segovia (Spain).	40 58 36 N	4 01 54 W
Casa Milà	Also known as 'La Pedrera', due to its look.	41 23 42.65 N	2 09 42.37 E
Castel del Monte	Castel del Monte is a castle in Apulia, in Italy.	41 05 05.28 N	16 16 15.57 E
Castellazzo Bormida	Castellazzo Bormida is a comune (municipality) in the Province of Alessandria in the Italian region Piedmont	44 50 46 N	8 34 42 E
Castello di Duino	Il castello di Duino è un castello situato nel comune di Duino-Aurisina, in provincia di Trieste, Italia.	45 46 18.39 N	13 36 14.3 E
Castello di Miramare	Miramare is a castle near Trieste.	45 42 09 N	13 42 45 E
Castello di San Giusto	The statues Micheze and Jacheze in the entrance hall of Castello di San Giusto	45 38 49.99 N	13 46 23.62 E
Castello Sforzesco (Milan)	The "Castello Sforzesco" is a castle and a museum in Milan, Italy.	45 28 11.4 N	9 10 46.2 E
Castelo da Rocha Forte		42 51 42.29 N	8 34 29.38 W
Castelo de Castro Marim		37 13 07.43 N	7 26 29.69 W
Castelo de Maceda		42 16 13.92 N	7 39 32.36 W
Castelo de Monforte de Lemos		42 31 26.71 N	7 30 38.86 W
Castelo de Monterreal		42 07 29.82 N	8 50 59.18 W
Castelo de Pambre		42 51 34.87 N	7 56 53.7 W
Castelo de Ribadavia		42 17 12.3 N	8 08 37.49 W
Castelo de San Felipe		43 27 52.83 N	8 16 52.45 W
Castelo de Santa Cruz		43 20 54.08 N	8 21 00.64 W
Castelo de Santo Antón		43 21 56.6 N	8 23 16.12 W
Castelo de Sobroso	The Sobroso Castle is a castle located in Vilasobroso- Mondariz, Provincia of Pontevedra, Galicia (Spain).	42 12 17.3 N	8 27 20.51 W
Castelo de Soutomaior		42 19 46.77 N	8 34 05.54 W
Castelo de Vilalba		43 17 52.79 N	7 40 56.44 W
Castelo de Vilamarín		42 27 02.87 N	7 54 02.26 W
Castiñeiras, Ribeira		42 31 57.33 N	8 59 44.67 W
Castrelo de Miño	Castrelo de Miño is a municipality in Galicia, in the province of Ourense.	42 17 49.63 N	8 04 02.63 W
Castrelo do Val	Castrelo do Val is a municipality in Galicia, in the province of Ourense.	41 59 26.72 N	7 25 25.2 W
Castro Caldelas	Castro Caldelas is a municipality in Galicia, in the province of Ourense.	42 22 32.63 N	7 24 54 W
Castro de Baroña		42 41 40.91 N	9 01 54.91 W
Castro de Rei		43 12 32.15 N	7 23 58.38 W
Catacaos		5 16 00 S	80 41 00 W
Catedral de Barcelona		41 23 02.07 N	2 10 35.19 E
